"first_name"|"last_name"|"address"|"city"|"state"|"zip"|"phone1"|"phone2"
"James"|"Butt"|"6649 N Blue Gum St"|"New Orleans"|"LA"|70116|"504-621-8927"|"504-845-1427"
"Josephine"|"Darakjy"|"4 B Blue Ridge Blvd"|"Brighton"|"MI"|48116|"810-292-9388"|"810-374-9840"
"Art"|"Venere"|"8 W Cerritos Ave #54"|"Bridgeport"|"NJ"|"08014"|"856-636-8749"|"856-264-4130"
"Lenna"|"Paprocki"|"639 Main St"|"Anchorage"|"AK"|99501|"907-385-4412"|"907-921-2010"
"Donette"|"Foller"|"34 Center St"|"Hamilton"|"OH"|45011|"513-570-1893"|"513-549-4561"
"Simona"|"Morasca"|"3 Mcauley Dr"|"Ashland"|"OH"|44805|"419-503-2484"|"419-800-6759"
"Mitsue"|"Tollner"|"7 Eads St"|"Chicago"|"IL"|60632|"773-573-6914"|"773-924-8565"
"Leota"|"Dilliard"|"7 W Jackson Blvd"|"San Jose"|"CA"|95111|"408-752-3500"|"408-813-1105"
"Sage"|"Wieser"|"5 Boston Ave #88"|"Sioux Falls"|"SD"|57105|"605-414-2147"|"605-794-4895"
"Kris"|"Marrier"|"228 Runamuck Pl #2808"|"Baltimore"|"MD"|21224|"410-655-8723"|"410-804-4694"
"Minna"|"Amigon"|"2371 Jerrold Ave"|"Kulpsville"|"PA"|19443|"215-874-1229"|"215-422-8694"
"Abel"|"Maclead"|"37275 St  Rt 17m M"|"Middle Island"|"NY"|11953|"631-335-3414"|"631-677-3675"
"Kiley"|"Caldarera"|"25 E 75th St #69"|"Los Angeles"|"CA"|90034|"310-498-5651"|"310-254-3084"
"Graciela"|"Ruta"|"98 Connecticut Ave Nw"|"Chagrin Falls"|"OH"|44023|"440-780-8425"|"440-579-7763"
"Cammy"|"Albares"|"56 E Morehead St"|"Laredo"|"TX"|78045|"956-537-6195"|"956-841-7216"
"Mattie"|"Poquette"|"73 State Road 434 E"|"Phoenix"|"AZ"|85013|"602-277-4385"|"602-953-6360"
"Meaghan"|"Garufi"|"69734 E Carrillo St"|"Mc Minnville"|"TN"|37110|"931-313-9635"|"931-235-7959"
"Gladys"|"Rim"|"322 New Horizon Blvd"|"Milwaukee"|"WI"|53207|"414-661-9598"|"414-377-2880"
"Yuki"|"Whobrey"|"1 State Route 27"|"Taylor"|"MI"|48180|"313-288-7937"|"313-341-4470"
"Fletcher"|"Flosi"|"394 Manchester Blvd"|"Rockford"|"IL"|61109|"815-828-2147"|"815-426-5657"
"Bette"|"Nicka"|"6 S 33rd St"|"Aston"|"PA"|19014|"610-545-3615"|"610-492-4643"
"Veronika"|"Inouye"|"6 Greenleaf Ave"|"San Jose"|"CA"|95111|"408-540-1785"|"408-813-4592"
"Willard"|"Kolmetz"|"618 W Yakima Ave"|"Irving"|"TX"|75062|"972-303-9197"|"972-896-4882"
"Maryann"|"Royster"|"74 S Westgate St"|"Albany"|"NY"|12204|"518-966-7987"|"518-448-8982"
"Alisha"|"Slusarski"|"3273 State St"|"Middlesex"|"NJ"|"08846"|"732-658-3154"|"732-635-3453"
"Allene"|"Iturbide"|"1 Central Ave"|"Stevens Point"|"WI"|54481|"715-662-6764"|"715-530-9863"
"Chanel"|"Caudy"|"86 Nw 66th St #73"|"Shawnee"|"KS"|66218|"913-388-2079"|"913-899-1103"
"Ezekiel"|"Chui"|"2 Cedar Ave #84"|"Easton"|"MD"|21601|"410-669-1642"|"410-235-8738"
"Willow"|"Kusko"|"90991 Thorburn Ave"|"New York"|"NY"|10011|"212-582-4976"|"212-934-5167"
"Bernardo"|"Figeroa"|"386 9th Ave N"|"Conroe"|"TX"|77301|"936-336-3951"|"936-597-3614"
"Ammie"|"Corrio"|"74874 Atlantic Ave"|"Columbus"|"OH"|43215|"614-801-9788"|"614-648-3265"
"Francine"|"Vocelka"|"366 South Dr"|"Las Cruces"|"NM"|88011|"505-977-3911"|"505-335-5293"
